,Ground Truth,Transcription,WER,CER,PER
0,just look at all those people,she look at all those people,0.16666666666666666,0.13793103448275862,0.16
1,i will see what i can do,i will see what i can do,0.0,0.0,0.0
2,only when i give you an order,only when i could be a boy,0.5714285714285714,0.4827586206896552,0.4230769230769231
3,i just got out here,i just got out here,0.0,0.0,0.0
4,if anything ever happens to me,i have to me,0.6666666666666666,0.6333333333333333,0.6296296296296297
5,where did you go to school,where did you are,0.5,0.46153846153846156,0.45454545454545453
6,is it back in,is it back in,0.0,0.0,0.0
7,you have a job,you have a job,0.0,0.0,0.0
8,you got it all in your head,you got here all your right,0.42857142857142855,0.4444444444444444,0.375
9,thank god he did,this time you did,0.75,0.625,0.5625
10,better late than never,but like the number,1.0,0.5,0.5
11,you were talking in your sleep,you were talking in your sleep,0.0,0.0,0.0
12,i do like you,i do like you,0.0,0.0,0.0
13,how do we know this is the way,how do we know this is the way,0.0,0.0,0.0
14,i know a lot of nice girls,i know a lot of nice girls,0.0,0.0,0.0
15,there is nothing we can do,what is that one too,0.8333333333333334,0.6153846153846154,0.5652173913043478
16,we have to help him,we have to help him,0.0,0.0,0.0
17,so how long is this trip,so how long is this trip,0.0,0.0,0.0
18,what did you do tonight,what did you do tonight,0.0,0.0,0.0
19,not possible you were never alone,no you were never alone,0.3333333333333333,0.30303030303030304,0.35714285714285715
20,tell me what happened,tell me what happened,0.0,0.0,0.0
21,why are you looking at me like that,what are you like that,0.5,0.45714285714285713,0.4827586206896552
22,as many times as it takes,it must have it take,0.8333333333333334,0.52,0.5
23,what you said to me in the room,what you said to me in the room,0.0,0.0,0.0
24,can you make it back,can you make it back,0.0,0.0,0.0
25,what friend is that,what friend is that,0.0,0.0,0.0
26,i kind of like it,i can take it,0.6,0.47058823529411764,0.4117647058823529
27,you want me to stay here,you want to stay here,0.16666666666666666,0.125,0.13636363636363635
28,who is that guy,you say,1.0,0.7333333333333333,0.7692307692307693
29,come here i want to show you something,have here i want to do something,0.375,0.2631578947368421,0.22580645161290322
30,so they think he left it with you,so what is it,0.75,0.696969696969697,0.6896551724137931
31,are they still out there,this out there,0.6,0.4583333333333333,0.4444444444444444
32,do you mind me talking about your stuff,do you may be on to yourself,0.75,0.46153846153846156,0.5294117647058824
33,did you know him very well,did you know him well,0.16666666666666666,0.19230769230769232,0.21739130434782608
34,can i ask you then,can you that,0.6,0.4444444444444444,0.47058823529411764
35,you said you wanted these,you can what they,0.8,0.52,0.5714285714285714
36,did i have anything to say about it,i want to about it,0.5,0.5142857142857142,0.5161290322580645
37,did you go to her,did you go to her,0.0,0.0,0.0
38,is she a friend of yours,i see afraid of yours,0.6666666666666666,0.25,0.2727272727272727
39,why are you speaking,why are you speaking,0.0,0.0,0.0
40,i like my name,i thought i them,0.75,0.8571428571428571,0.46153846153846156
41,what was the money for,what was that back for,0.4,0.3181818181818182,0.3
42,i would have anyway,i would have anyway,0.0,0.0,0.0
43,give me some of the good stuff,give me some of the good stuff,0.0,0.0,0.0
44,is he coming home,is he coming home,0.0,0.0,0.0
45,you are his friend,you are right,0.5,0.4444444444444444,0.5
46,you want to bet,you want to bet,0.0,0.0,0.0
47,you need to explain it,you need to say it,0.2,0.2727272727272727,0.23809523809523808
48,did he tell her,get in here,1.0,0.6666666666666666,0.7857142857142857
49,better if i just show you,but if i set told you,0.5,0.44,0.38095238095238093
50,how are we doing,how are you doing,0.25,0.1875,0.14285714285714285
51,tell me about the kids,tell me about this case,0.4,0.2727272727272727,0.25
52,just tell me what you want,just tell me what you want,0.0,0.0,0.0
53,will you take me home now,will you take me home now,0.0,0.0,0.0
54,what did they look like,what did they look like,0.0,0.0,0.0
55,why not call for help,why not call for help,0.0,0.0,0.0
56,what is this thing,what is it this,0.5,0.2777777777777778,0.26666666666666666
57,with all my heart,with all my it,0.25,0.23529411764705882,0.2
58,did you see it,did you see it,0.0,0.0,0.0
59,not sure let me think about it,talk to let me think about it,0.2857142857142857,0.26666666666666666,0.21428571428571427
60,nothing we can do,that we can do,0.25,0.29411764705882354,0.3125
61,what do you get,what do you get,0.0,0.0,0.0
62,four but no one this important,but no one this morning,0.3333333333333333,0.3333333333333333,0.3448275862068966
63,well what do you think it is,well what do you think it is,0.0,0.0,0.0
64,good to see you again,can you see again,0.6,0.47619047619047616,0.3888888888888889
65,my job is here,my job is here,0.0,0.0,0.0
66,nice bunch of guys,just a guy,1.0,0.6666666666666666,0.5625
67,then start taking them seriously,that was in love your day,1.2,0.6875,0.6896551724137931
68,she got anything good,did i anything good,0.5,0.2857142857142857,0.3333333333333333
69,we have to do something,we have to do something,0.0,0.0,0.0
70,so you can use it now,so you can do it now,0.16666666666666666,0.14285714285714285,0.1
71,hey let him out,i thought it out,0.75,0.6666666666666666,0.42857142857142855
72,i think i might just take that look,i think i might just take that thing,0.125,0.14285714285714285,0.1
73,i can see that what are they,i see that what are they,0.14285714285714285,0.14285714285714285,0.17391304347826086
74,well maybe we can do something like that,why maybe we can do some like that,0.25,0.2,0.14705882352941177
75,but what if you need more money,but where have you been for me,0.7142857142857143,0.45161290322580644,0.4074074074074074
76,that was a beautiful message,that was a little bit,0.4,0.5,0.4
77,so you did hang up,so you did,0.4,0.4444444444444444,0.4117647058823529
78,of course i forgot,of course i forgot,0.0,0.0,0.0
79,so call if you need me,so you tell me,0.5,0.5,0.5
80,why do you think she left you,why do you think she leave too,0.2857142857142857,0.1724137931034483,0.16
81,you should have let me do the talking,you should have let me do the talking,0.0,0.0,0.0
82,could it have been this,can have been nice,0.6,0.4782608695652174,0.3684210526315789
83,your face is familiar,you find your father,1.0,0.6190476190476191,0.6842105263157895
84,why do you want to stop,why do you want to stop,0.0,0.0,0.0
85,he told me what to do,he told me what to do,0.0,0.0,0.0
86,get it in half an hour,get it in half an hour,0.0,0.0,0.0
87,do you need a break,you need a back,0.4,0.3157894736842105,0.29411764705882354
88,but what will happen,but what will happen,0.0,0.0,0.0
89,what was he after,what was that after,0.25,0.17647058823529413,0.1875
90,somebody must live here,somebody must the here,0.25,0.13043478260869565,0.14285714285714285
91,my kind of people,my kind of beautiful,0.25,0.47058823529411764,0.35294117647058826
92,if you hit me,have you hit me,0.25,0.3076923076923077,0.23076923076923078
93,that looks pretty nice,that looks pretty nice,0.0,0.0,0.0
94,no tell me why,so tell me why,0.25,0.07142857142857142,0.07692307692307693
95,you got no idea what they were after,you got no idea what they were after,0.0,0.0,0.0
96,you have a request,you have a girlfriend,,,
97,what can it hurt,what can it hurt,0.0,0.0,0.0
98,come and get it if you can,i might get it if you can,0.2857142857142857,0.2692307692307692,0.24
99,excuse me i asked you a question,you may i ask you a question,0.42857142857142855,0.28125,0.22580645161290322
100,will you tell him,will you tell him,0.0,0.0,0.0
101,what do you believe in,what did you been in,0.4,0.2727272727272727,0.2631578947368421
102,they gave you only four days,they gave you only four this,0.16666666666666666,0.10714285714285714,0.13043478260869565
103,like a real sister,like a real sister,0.0,0.0,0.0
104,i want you to go there,i want you to go there,0.0,0.0,0.0
105,are you quite sure,are you coming or,0.5,0.4444444444444444,0.4
106,can we get through these,how can that,1.0,0.75,0.7894736842105263
107,i was just kidding around,i was in it about,0.6,0.52,0.5454545454545454
108,you look a little green,you should at agree,0.8,0.5217391304347826,0.5
109,no we already talked about that,now we always thought about that,0.5,0.3548387096774194,0.25925925925925924
110,when you are ready,what are you right here,1.0,0.8333333333333334,0.7333333333333333
111,it is kind of rough,it is kind of rough,0.0,0.0,0.0
